TIME_PERIOD,OBS_VALUE,OBS_EXCEPTION,OBS_STATUS,OBS_SOURCE,OBS_NOTE,COBER_GEO
2008/01,0.00000000000000000000,,3,,,07000001
2008/02,0.00000000000000000000,,3,,,07000001
2008/03,0.00000000000000000000,,3,,,07000001
2008/04,0.00000000000000000000,,3,,,07000001
2008/05,0.00000000000000000000,,3,,,07000001
2008/06,1.50000000000000000000,,3,,,07000001
2008/07,3.60000000000000000000,,3,,,07000001
2008/08,11.00000000000000000000,,3,,,07000001
2008/09,9.00000000000000000000,,3,,,07000001
2008/10,10.00000000000000000000,,3,,,07000001
2008/11,13.00000000000000000000,,3,,,07000001
2008/12,11.00000000000000000000,,3,,,07000001
2009/01,8.30000000000000000000,,3,,,07000001
2009/02,5.20000000000000000000,,3,,,07000001
2009/03,7.60000000000000000000,,3,,,07000001
2009/04,11.00000000000000000000,,3,,,07000001
2009/05,14.00000000000000000000,,3,,,07000001
2009/06,13.00000000000000000000,,3,,,07000001
2009/07,15.10000000000000000000,,3,,,07000001
2009/08,8.00000000000000000000,,3,,,07000001
2009/09,10.00000000000000000000,,3,,,07000001
2009/10,9.40000000000000000000,,3,,,07000001
2009/11,11.20000000000000000000,,3,,,07000001
2009/12,10.00000000000000000000,,3,,,07000001
2010/01,11.00000000000000000000,,3,,,07000001
2010/02,8.00000000000000000000,,3,,,07000001
2010/03,10.00000000000000000000,,3,,,07000001
2010/04,11.00000000000000000000,,3,,,07000001
2010/05,14.00000000000000000000,,3,,,07000001
2010/06,16.00000000000000000000,,3,,,07000001
2010/07,19.00000000000000000000,,3,,,07000001
2010/08,14.00000000000000000000,,3,,,07000001
2010/09,14.00000000000000000000,,3,,,07000001
2010/10,15.00000000000000000000,,3,,,07000001
2010/11,11.00000000000000000000,,3,,,07000001
2010/12,16.00000000000000000000,,3,,,07000001
2011/01,12.00000000000000000000,,3,,,07000001
2011/02,11.00000000000000000000,,3,,,07000001
2011/03,18.00000000000000000000,,3,,,07000001
2011/04,26.00000000000000000000,,3,,,07000001
2011/05,13.00000000000000000000,,3,,,07000001
2011/06,16.00000000000000000000,,3,,,07000001
2011/07,25.00000000000000000000,,3,,,07000001
2011/08,19.00000000000000000000,,3,,,07000001
2011/09,20.00000000000000000000,,3,,,07000001
2011/10,17.00000000000000000000,,3,,,07000001
2011/11,19.00000000000000000000,,3,,,07000001
2011/12,21.00000000000000000000,,3,,,07000001
2012/01,33.00000000000000000000,,3,,,07000001
2012/02,23.00000000000000000000,,3,,,07000001
2012/03,25.00000000000000000000,,3,,,07000001
2012/04,24.00000000000000000000,,3,,,07000001
2012/05,17.00000000000000000000,,3,,,07000001
2012/06,17.00000000000000000000,,3,,,07000001
2012/07,22.00000000000000000000,,3,,,07000001
2012/08,15.00000000000000000000,,3,,,07000001
2012/09,11.00000000000000000000,,3,,,07000001
2012/10,17.00000000000000000000,,3,,,07000001
2012/11,23.00000000000000000000,,3,,,07000001
2012/12,20.00000000000000000000,,3,,,07000001
2013/01,121.30000000000000000000,,3,,,07000001
2013/02,115.60000000000000000000,,3,,,07000001
2013/03,113.50000000000000000000,,3,,,07000001
2013/04,91.80000000000000000000,,3,,,07000001
2013/05,133.30000000000000000000,,3,,,07000001
2013/06,119.00000000000000000000,,3,,,07000001
2013/07,126.30000000000000000000,,3,,,07000001
2013/08,133.10000000000000000000,,3,,,07000001
2013/09,108.00000000000000000000,,3,,,07000001
2013/10,126.20000000000000000000,,3,,,07000001
2013/11,97.10000000000000000000,,3,,,07000001
2013/12,98.80000000000000000000,,3,,,07000001
2014/01,86.30000000000000000000,,3,,,07000001
2014/02,75.70000000000000000000,,3,,,07000001
2014/03,88.40000000000000000000,,3,,,07000001
2014/04,111.70000000000000000000,,3,,,07000001
2014/05,104.80000000000000000000,,3,,,07000001
2014/06,87.70000000000000000000,,3,,,07000001
2014/07,89.70000000000000000000,,3,,,07000001
2014/08,119.40000000000000000000,,3,,,07000001
2014/09,124.40000000000000000000,,3,,,07000001
