,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
0,2020-02-01,AL,Alabama,ALL,all sectors,2639076.0,9.44,635.71477,6737.74734,number of customers,cents per kilowatthour,million dollars,million kilowatthours
1,2020-02-01,AL,Alabama,COM,commercial,370356.0,11.46,189.35177,1652.77899,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2,2020-02-01,AL,Alabama,IND,industrial,7220.0,5.44,142.52221,2618.39707,number of customers,cents per kilowatthour,million dollars,million kilowatthours
3,2020-02-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
4,2020-02-01,AL,Alabama,RES,residential,2261500.0,12.32,303.84079,2466.57128,number of customers,cents per kilowatthour,million dollars,million kilowatthours
5,2020-02-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
6,2020-02-01,AK,Alaska,ALL,all sectors,375730.0,19.61,106.08166,540.99683,number of customers,cents per kilowatthour,million dollars,million kilowatthours
7,2020-02-01,AZ,Arizona,COM,commercial,329648.0,9.29,187.96113,2023.668,number of customers,cents per kilowatthour,million dollars,million kilowatthours
8,2020-02-01,AZ,Arizona,IND,industrial,7579.0,5.32,58.04576,1091.04834,number of customers,cents per kilowatthour,million dollars,million kilowatthours
9,2020-02-01,AZ,Arizona,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
10,2021-08-01,AL,Alabama,ALL,all sectors,2694241.0,10.95,933.39107,8523.89621,number of customers,cents per kilowatthour,million dollars,million kilowatthours
11,2021-08-01,AL,Alabama,COM,commercial,374515.0,12.3,274.25678,2230.33489,number of customers,cents per kilowatthour,million dollars,million kilowatthours
12,2020-02-01,AK,Alaska,COM,commercial,61343.0,19.23,45.85359,238.50531,number of customers,cents per kilowatthour,million dollars,million kilowatthours
13,2020-02-01,AK,Alaska,IND,industrial,1105.0,16.24,17.25092,106.23968,number of customers,cents per kilowatthour,million dollars,million kilowatthours
14,2020-02-01,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
15,2020-02-01,AK,Alaska,RES,residential,313282.0,21.9,42.97714,196.25184,number of customers,cents per kilowatthour,million dollars,million kilowatthours
16,2020-02-01,AK,Alaska,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
17,2020-02-01,AZ,Arizona,ALL,all sectors,3226140.0,9.45,495.16712,5238.41831,number of customers,cents per kilowatthour,million dollars,million kilowatthours
18,2021-08-01,AL,Alabama,IND,industrial,8008.0,6.88,197.76633,2874.46401,number of customers,cents per kilowatthour,million dollars,million kilowatthours
19,2021-08-01,AL,Alabama,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
20,2021-08-01,AL,Alabama,RES,residential,2311718.0,13.49,461.36796,3419.09732,number of customers,cents per kilowatthour,million dollars,million kilowatthours
21,2021-08-01,AL,Alabama,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
22,2021-08-01,AK,Alaska,ALL,all sectors,352033.0,20.16,92.34548,458.12567,number of customers,cents per kilowatthour,million dollars,million kilowatthours
23,2021-08-01,AK,Alaska,COM,commercial,56543.0,19.63,39.55557,201.55323,number of customers,cents per kilowatthour,million dollars,million kilowatthours
24,2021-08-01,AK,Alaska,IND,industrial,1149.0,17.07,19.16492,112.30016,number of customers,cents per kilowatthour,million dollars,million kilowatthours
25,2021-08-01,AK,Alaska,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
26,2021-08-01,AK,Alaska,RES,residential,294341.0,23.31,33.62499,144.27229,number of customers,cents per kilowatthour,million dollars,million kilowatthours
27,2021-08-01,AK,Alaska,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
28,2021-08-01,AZ,Arizona,ALL,all sectors,3273875.0,11.22,1021.01014,9100.58456,number of customers,cents per kilowatthour,million dollars,million kilowatthours
29,2021-08-01,AZ,Arizona,COM,commercial,333645.0,10.69,335.91182,3141.69747,number of customers,cents per kilowatthour,million dollars,million kilowatthours
30,2021-08-01,AZ,Arizona,IND,industrial,7362.0,7.56,97.73202,1292.87319,number of customers,cents per kilowatthour,million dollars,million kilowatthours
31,2021-08-01,AZ,Arizona,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
32,2021-08-01,AZ,Arizona,RES,residential,2932866.0,12.59,587.27441,4665.0675,number of customers,cents per kilowatthour,million dollars,million kilowatthours
33,2021-08-01,AZ,Arizona,TRA,transportation,2.0,9.71,0.09189,0.94641,number of customers,cents per kilowatthour,million dollars,million kilowatthours
34,2021-08-01,AR,Arkansas,ALL,all sectors,1686453.0,9.46,468.43868,4953.23755,number of customers,cents per kilowatthour,million dollars,million kilowatthours
35,2021-08-01,AR,Arkansas,COM,commercial,204557.0,9.56,113.10359,1183.45363,number of customers,cents per kilowatthour,million dollars,million kilowatthours
36,2021-08-01,AR,Arkansas,IND,industrial,42378.0,7.07,123.95053,1752.39772,number of customers,cents per kilowatthour,million dollars,million kilowatthours
37,2021-08-01,AR,Arkansas,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
38,2021-08-01,AR,Arkansas,RES,residential,1439516.0,11.47,231.38037,2017.3582,number of customers,cents per kilowatthour,million dollars,million kilowatthours
39,2021-08-01,AR,Arkansas,TRA,transportation,2.0,14.96,0.00419,0.028,number of customers,cents per kilowatthour,million dollars,million kilowatthours
40,2021-08-01,CA,California,ALL,all sectors,15789757.0,21.35,5533.53778,25923.70267,number of customers,cents per kilowatthour,million dollars,million kilowatthours
41,2021-08-01,CA,California,COM,commercial,1757958.0,21.3,2335.8456,10964.8947,number of customers,cents per kilowatthour,million dollars,million kilowatthours
42,2021-08-01,CA,California,IND,industrial,148732.0,17.04,774.91749,4547.52317,number of customers,cents per kilowatthour,million dollars,million kilowatthours
43,2021-08-01,CA,California,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
44,2021-08-01,CA,California,RES,residential,13883055.0,23.34,2415.85007,10348.66291,number of customers,cents per kilowatthour,million dollars,million kilowatthours
45,2021-08-01,CA,California,TRA,transportation,12.0,11.06,6.92462,62.6219,number of customers,cents per kilowatthour,million dollars,million kilowatthours
