period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
2017,RC,Residential carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.216878,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.283279,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.500157,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.331535,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.285343,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.616878,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,PE,Petroleum,WV,West Virginia,10.398766,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.106507,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,TO,All Fuels,WV,West Virginia,11.505273,million metric tons of CO2
2017,EC,Electric Power carbon dioxide emissions,CO,Coal,WV,West Virginia,65.423558,million metric tons of CO2
2017,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.088628,million metric tons of CO2
2017,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,0.592804,million metric tons of CO2
2017,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WV,West Virginia,66.104989,million metric tons of CO2
2017,IC,Industrial carbon dioxide emissions,CO,Coal,WV,West Virginia,2.452313,million metric tons of CO2
2017,IC,Industrial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,1.652439,million metric tons of CO2
2017,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,6.009578,million metric tons of CO2
2017,IC,Industrial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,10.11433,million metric tons of CO2
2017,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WV,West Virginia,90.841628,million metric tons of CO2
2017,TT,Total carbon dioxide emissions from all sectors,CO,Coal,WV,West Virginia,67.875871,million metric tons of CO2
2017,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,WV,West Virginia,12.688246,million metric tons of CO2
2017,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,WV,West Virginia,10.277511,million metric tons of CO2
2018,RC,Residential carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2018,RC,Residential carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.269319,million metric tons of CO2
2018,RC,Residential carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.516824,million metric tons of CO2
2018,RC,Residential carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.786143,million metric tons of CO2
2018,CC,Commercial carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2018,CC,Commercial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.367771,million metric tons of CO2
2018,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.447671,million metric tons of CO2
2018,CC,Commercial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.815442,million metric tons of CO2
2018,TC,Transportation carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2018,TC,Transportation carbon dioxide emissions,PE,Petroleum,WV,West Virginia,11.864523,million metric tons of CO2
2018,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.114126,million metric tons of CO2
2018,TC,Transportation carbon dioxide emissions,TO,All Fuels,WV,West Virginia,12.978649,million metric tons of CO2
2018,EC,Electric Power carbon dioxide emissions,CO,Coal,WV,West Virginia,60.594877,million metric tons of CO2
2018,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.123443,million metric tons of CO2
2018,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,0.610105,million metric tons of CO2
2018,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WV,West Virginia,61.328426,million metric tons of CO2
2018,IC,Industrial carbon dioxide emissions,CO,Coal,WV,West Virginia,2.644058,million metric tons of CO2
2018,IC,Industrial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,1.865653,million metric tons of CO2
2018,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,6.726424,million metric tons of CO2
2018,IC,Industrial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,11.236136,million metric tons of CO2
2018,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WV,West Virginia,89.144796,million metric tons of CO2
2018,TT,Total carbon dioxide emissions from all sectors,CO,Coal,WV,West Virginia,63.238936,million metric tons of CO2
2018,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,WV,West Virginia,14.49071,million metric tons of CO2
2018,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,WV,West Virginia,11.41515,million metric tons of CO2
2019,RC,Residential carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2019,RC,Residential carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.309987,million metric tons of CO2
2019,RC,Residential carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.369681,million metric tons of CO2
2019,RC,Residential carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.679669,million metric tons of CO2
2019,CC,Commercial carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2019,CC,Commercial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.426826,million metric tons of CO2
2019,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.35529,million metric tons of CO2
2019,CC,Commercial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.782115,million metric tons of CO2
2019,TC,Transportation carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2019,TC,Transportation carbon dioxide emissions,PE,Petroleum,WV,West Virginia,10.893492,million metric tons of CO2
2019,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.43275,million metric tons of CO2
2019,TC,Transportation carbon dioxide emissions,TO,All Fuels,WV,West Virginia,12.326242,million metric tons of CO2
2019,EC,Electric Power carbon dioxide emissions,CO,Coal,WV,West Virginia,56.757869,million metric tons of CO2
2019,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.098161,million metric tons of CO2
2019,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,0.928306,million metric tons of CO2
2019,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WV,West Virginia,57.784337,million metric tons of CO2
2019,IC,Industrial carbon dioxide emissions,CO,Coal,WV,West Virginia,2.626076,million metric tons of CO2
2019,IC,Industrial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,1.966644,million metric tons of CO2
2019,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,7.280914,million metric tons of CO2
2019,IC,Industrial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,11.873634,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WV,West Virginia,85.445996,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,WV,West Virginia,59.383945,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,WV,West Virginia,13.69511,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,WV,West Virginia,12.366941,million metric tons of CO2
2020,RC,Residential carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2020,RC,Residential carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.345846,million metric tons of CO2
2020,RC,Residential carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.318094,million metric tons of CO2
2020,RC,Residential carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.66394,million metric tons of CO2
2020,CC,Commercial carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.349413,million metric tons of CO2
2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.239575,million metric tons of CO2
2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.588988,million metric tons of CO2
2020,TC,Transportation carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
2020,TC,Transportation carbon dioxide emissions,PE,Petroleum,WV,West Virginia,9.510821,million metric tons of CO2
2020,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.700474,million metric tons of CO2
2020,TC,Transportation carbon dioxide emissions,TO,All Fuels,WV,West Virginia,11.211295,million metric tons of CO2
2020,EC,Electric Power carbon dioxide emissions,CO,Coal,WV,West Virginia,49.125495,million metric tons of CO2
2020,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.109653,million metric tons of CO2
2020,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.187036,million metric tons of CO2
2020,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WV,West Virginia,50.422184,million metric tons of CO2
2020,IC,Industrial carbon dioxide emissions,CO,Coal,WV,West Virginia,2.496966,million metric tons of CO2
2020,IC,Industrial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,1.324102,million metric tons of CO2
2020,IC,Industrial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,8.217003,million metric tons of CO2
2020,IC,Industrial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,12.038071,million metric tons of CO2
2020,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WV,West Virginia,76.924478,million metric tons of CO2
2020,TT,Total carbon dioxide emissions from all sectors,CO,Coal,WV,West Virginia,51.622461,million metric tons of CO2
2020,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,WV,West Virginia,11.639834,million metric tons of CO2
2020,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,WV,West Virginia,13.662183,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,CO,Coal,WI,Wisconsin,0.0,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,PE,Petroleum,WI,Wisconsin,1.705531,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,NG,Natural Gas,WI,Wisconsin,7.209887,million metric tons of CO2
2017,RC,Residential carbon dioxide emissions,TO,All Fuels,WI,Wisconsin,8.915418,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,CO,Coal,WI,Wisconsin,0.050606,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,PE,Petroleum,WI,Wisconsin,1.002269,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WI,Wisconsin,4.978514,million metric tons of CO2
2017,CC,Commercial carbon dioxide emissions,TO,All Fuels,WI,Wisconsin,6.031389,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,CO,Coal,WI,Wisconsin,0.0,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,PE,Petroleum,WI,Wisconsin,28.977325,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,NG,Natural Gas,WI,Wisconsin,0.219682,million metric tons of CO2
2017,TC,Transportation carbon dioxide emissions,TO,All Fuels,WI,Wisconsin,29.197007,million metric tons of CO2
