seriesID,year,period,periodName,value,Date
LNS14000000,2022,M09,September,3.5,2022-09-01
LNS14000000,2022,M08,August,3.7,2022-08-01
LNS14000000,2022,M07,July,3.5,2022-07-01
LNS14000000,2022,M06,June,3.6,2022-06-01
LNS14000000,2022,M05,May,3.6,2022-05-01
LNS14000000,2022,M04,April,3.6,2022-04-01
LNS14000000,2022,M03,March,3.6,2022-03-01
LNS14000000,2022,M02,February,3.8,2022-02-01
LNS14000000,2022,M01,January,4.0,2022-01-01
LNS14000000,2021,M12,December,3.9,2021-12-01
LNS14000000,2021,M11,November,4.2,2021-11-01
LNS14000000,2021,M10,October,4.6,2021-10-01
LNS14000000,2021,M09,September,4.7,2021-09-01
LNS14000000,2021,M08,August,5.2,2021-08-01
LNS14000000,2021,M07,July,5.4,2021-07-01
LNS14000000,2021,M06,June,5.9,2021-06-01
LNS14000000,2021,M05,May,5.8,2021-05-01
LNS14000000,2021,M04,April,6.0,2021-04-01
LNS14000000,2021,M03,March,6.0,2021-03-01
LNS14000000,2021,M02,February,6.2,2021-02-01
LNS14000000,2021,M01,January,6.4,2021-01-01
LNS14000000,2020,M12,December,6.7,2020-12-01
LNS14000000,2020,M11,November,6.7,2020-11-01
LNS14000000,2020,M10,October,6.9,2020-10-01
LNS14000000,2020,M09,September,7.9,2020-09-01
LNS14000000,2020,M08,August,8.4,2020-08-01
LNS14000000,2020,M07,July,10.2,2020-07-01
LNS14000000,2020,M06,June,11.0,2020-06-01
LNS14000000,2020,M05,May,13.2,2020-05-01
LNS14000000,2020,M04,April,14.7,2020-04-01
LNS14000000,2020,M03,March,4.4,2020-03-01
LNS14000000,2020,M02,February,3.5,2020-02-01
LNS14000000,2020,M01,January,3.5,2020-01-01
CUUR0000SA0,2022,M09,September,296.808,2022-09-01
CUUR0000SA0,2022,M08,August,296.171,2022-08-01
CUUR0000SA0,2022,M07,July,296.276,2022-07-01
CUUR0000SA0,2022,M06,June,296.311,2022-06-01
CUUR0000SA0,2022,M05,May,292.296,2022-05-01
CUUR0000SA0,2022,M04,April,289.109,2022-04-01
CUUR0000SA0,2022,M03,March,287.504,2022-03-01
CUUR0000SA0,2022,M02,February,283.716,2022-02-01
CUUR0000SA0,2022,M01,January,281.148,2022-01-01
CUUR0000SA0,2021,M12,December,278.802,2021-12-01
CUUR0000SA0,2021,M11,November,277.948,2021-11-01
CUUR0000SA0,2021,M10,October,276.589,2021-10-01
CUUR0000SA0,2021,M09,September,274.31,2021-09-01
CUUR0000SA0,2021,M08,August,273.567,2021-08-01
CUUR0000SA0,2021,M07,July,273.003,2021-07-01
CUUR0000SA0,2021,M06,June,271.696,2021-06-01
CUUR0000SA0,2021,M05,May,269.195,2021-05-01
CUUR0000SA0,2021,M04,April,267.054,2021-04-01
CUUR0000SA0,2021,M03,March,264.877,2021-03-01
CUUR0000SA0,2021,M02,February,263.014,2021-02-01
CUUR0000SA0,2021,M01,January,261.582,2021-01-01
CUUR0000SA0,2020,M12,December,260.474,2020-12-01
CUUR0000SA0,2020,M11,November,260.229,2020-11-01
CUUR0000SA0,2020,M10,October,260.388,2020-10-01
CUUR0000SA0,2020,M09,September,260.28,2020-09-01
CUUR0000SA0,2020,M08,August,259.918,2020-08-01
CUUR0000SA0,2020,M07,July,259.101,2020-07-01
CUUR0000SA0,2020,M06,June,257.797,2020-06-01
CUUR0000SA0,2020,M05,May,256.394,2020-05-01
CUUR0000SA0,2020,M04,April,256.389,2020-04-01
CUUR0000SA0,2020,M03,March,258.115,2020-03-01
CUUR0000SA0,2020,M02,February,258.678,2020-02-01
CUUR0000SA0,2020,M01,January,257.971,2020-01-01
EIUIR,2022,M09,September,143.0,2022-09-01
EIUIR,2022,M08,August,144.8,2022-08-01
EIUIR,2022,M07,July,146.4,2022-07-01
EIUIR,2022,M06,June,148.5,2022-06-01
EIUIR,2022,M05,May,148.2,2022-05-01
EIUIR,2022,M04,April,147.5,2022-04-01
EIUIR,2022,M03,March,146.8,2022-03-01
EIUIR,2022,M02,February,142.6,2022-02-01
EIUIR,2022,M01,January,140.1,2022-01-01
EIUIR,2021,M12,December,137.4,2021-12-01
EIUIR,2021,M11,November,137.9,2021-11-01
EIUIR,2021,M10,October,136.9,2021-10-01
EIUIR,2021,M09,September,134.9,2021-09-01
EIUIR,2021,M08,August,134.3,2021-08-01
EIUIR,2021,M07,July,134.6,2021-07-01
EIUIR,2021,M06,June,134.2,2021-06-01
EIUIR,2021,M05,May,132.8,2021-05-01
EIUIR,2021,M04,April,131.1,2021-04-01
EIUIR,2021,M03,March,129.9,2021-03-01
EIUIR,2021,M02,February,128.0,2021-02-01
EIUIR,2021,M01,January,126.5,2021-01-01
EIUIR,2020,M12,December,124.6,2020-12-01
EIUIR,2020,M11,November,123.4,2020-11-01
EIUIR,2020,M10,October,123.3,2020-10-01
