,seriesID,year,period,periodName,value,Date
0,LASST060000000000003,2022,M09,September,3.9,2022-09-01
1,LASST060000000000003,2022,M08,August,4.1,2022-08-01
2,LASST060000000000003,2022,M07,July,3.9,2022-07-01
3,LASST060000000000003,2022,M06,June,4.2,2022-06-01
4,LASST060000000000003,2022,M05,May,4.3,2022-05-01
5,LASST060000000000003,2022,M04,April,4.6,2022-04-01
6,LASST060000000000003,2022,M03,March,4.8,2022-03-01
7,LASST060000000000003,2022,M02,February,5.3,2022-02-01
8,LASST060000000000003,2022,M01,January,5.7,2022-01-01
9,LASST060000000000003,2021,M12,December,5.8,2021-12-01
10,LASST060000000000003,2021,M11,November,5.8,2021-11-01
11,LASST060000000000003,2021,M10,October,6.1,2021-10-01
12,LASST060000000000003,2021,M09,September,6.4,2021-09-01
13,LASST060000000000003,2021,M08,August,7.0,2021-08-01
14,LASST060000000000003,2021,M07,July,7.4,2021-07-01
15,LASST060000000000003,2021,M06,June,7.9,2021-06-01
16,LASST060000000000003,2021,M05,May,7.9,2021-05-01
17,LASST060000000000003,2021,M04,April,8.3,2021-04-01
18,LASST060000000000003,2021,M03,March,8.4,2021-03-01
19,LASST060000000000003,2021,M02,February,8.6,2021-02-01
20,LASST060000000000003,2021,M01,January,8.8,2021-01-01
21,LASST060000000000003,2020,M12,December,9.2,2020-12-01
22,LASST060000000000003,2020,M11,November,9.2,2020-11-01
23,LASST060000000000003,2020,M10,October,9.5,2020-10-01
24,LASST060000000000003,2020,M09,September,10.3,2020-09-01
25,LASST060000000000003,2020,M08,August,11.9,2020-08-01
26,LASST060000000000003,2020,M07,July,13.4,2020-07-01
27,LASST060000000000003,2020,M06,June,14.1,2020-06-01
28,LASST060000000000003,2020,M05,May,16.1,2020-05-01
29,LASST060000000000003,2020,M04,April,15.9,2020-04-01
30,LASST060000000000003,2020,M03,March,5.5,2020-03-01
31,LASST060000000000003,2020,M02,February,4.1,2020-02-01
32,LASST060000000000003,2020,M01,January,4.1,2020-01-01
33,LASST060000000000004,2022,M09,September,746208.0,2022-09-01
34,LASST060000000000004,2022,M08,August,783822.0,2022-08-01
35,LASST060000000000004,2022,M07,July,754564.0,2022-07-01
36,LASST060000000000004,2022,M06,June,805466.0,2022-06-01
37,LASST060000000000004,2022,M05,May,829323.0,2022-05-01
38,LASST060000000000004,2022,M04,April,880957.0,2022-04-01
39,LASST060000000000004,2022,M03,March,926932.0,2022-03-01
40,LASST060000000000004,2022,M02,February,1011994.0,2022-02-01
41,LASST060000000000004,2022,M01,January,1089654.0,2022-01-01
42,LASST060000000000004,2021,M12,December,1095056.0,2021-12-01
43,LASST060000000000004,2021,M11,November,1103714.0,2021-11-01
44,LASST060000000000004,2021,M10,October,1163543.0,2021-10-01
45,LASST060000000000004,2021,M09,September,1218106.0,2021-09-01
46,LASST060000000000004,2021,M08,August,1340222.0,2021-08-01
47,LASST060000000000004,2021,M07,July,1406696.0,2021-07-01
48,LASST060000000000004,2021,M06,June,1503882.0,2021-06-01
49,LASST060000000000004,2021,M05,May,1498630.0,2021-05-01
50,LASST060000000000004,2021,M04,April,1571196.0,2021-04-01
51,LASST060000000000004,2021,M03,March,1581745.0,2021-03-01
52,LASST060000000000004,2021,M02,February,1607581.0,2021-02-01
53,LASST060000000000004,2021,M01,January,1637415.0,2021-01-01
54,LASST060000000000004,2020,M12,December,1712971.0,2020-12-01
55,LASST060000000000004,2020,M11,November,1708187.0,2020-11-01
56,LASST060000000000004,2020,M10,October,1764182.0,2020-10-01
57,LASST060000000000004,2020,M09,September,1925770.0,2020-09-01
58,LASST060000000000004,2020,M08,August,2252934.0,2020-08-01
59,LASST060000000000004,2020,M07,July,2553150.0,2020-07-01
60,LASST060000000000004,2020,M06,June,2677347.0,2020-06-01
61,LASST060000000000004,2020,M05,May,3002074.0,2020-05-01
62,LASST060000000000004,2020,M04,April,2965230.0,2020-04-01
63,LASST060000000000004,2020,M03,March,1053908.0,2020-03-01
64,LASST060000000000004,2020,M02,February,802513.0,2020-02-01
65,LASST060000000000004,2020,M01,January,800656.0,2020-01-01
66,LASST060000000000005,2022,M09,September,18544121.0,2022-09-01
67,LASST060000000000005,2022,M08,August,18564222.0,2022-08-01
68,LASST060000000000005,2022,M07,July,18568488.0,2022-07-01
69,LASST060000000000005,2022,M06,June,18544716.0,2022-06-01
70,LASST060000000000005,2022,M05,May,18469509.0,2022-05-01
71,LASST060000000000005,2022,M04,April,18348193.0,2022-04-01
72,LASST060000000000005,2022,M03,March,18198059.0,2022-03-01
73,LASST060000000000005,2022,M02,February,18056231.0,2022-02-01
74,LASST060000000000005,2022,M01,January,17959101.0,2022-01-01
75,LASST060000000000005,2021,M12,December,17850959.0,2021-12-01
76,LASST060000000000005,2021,M11,November,17860281.0,2021-11-01
77,LASST060000000000005,2021,M10,October,17860812.0,2021-10-01
78,LASST060000000000005,2021,M09,September,17788720.0,2021-09-01
79,LASST060000000000005,2021,M08,August,17709087.0,2021-08-01
80,LASST060000000000005,2021,M07,July,17609627.0,2021-07-01
81,LASST060000000000005,2021,M06,June,17517358.0,2021-06-01
82,LASST060000000000005,2021,M05,May,17414749.0,2021-05-01
83,LASST060000000000005,2021,M04,April,17310628.0,2021-04-01
84,LASST060000000000005,2021,M03,March,17199917.0,2021-03-01
85,LASST060000000000005,2021,M02,February,17099131.0,2021-02-01
86,LASST060000000000005,2021,M01,January,17020492.0,2021-01-01
87,LASST060000000000005,2020,M12,December,16957946.0,2020-12-01
88,LASST060000000000005,2020,M11,November,16892595.0,2020-11-01
89,LASST060000000000005,2020,M10,October,16820478.0,2020-10-01
90,LASST060000000000005,2020,M09,September,16740763.0,2020-09-01
91,LASST060000000000005,2020,M08,August,16616651.0,2020-08-01
92,LASST060000000000005,2020,M07,July,16506245.0,2020-07-01
93,LASST060000000000005,2020,M06,June,16365183.0,2020-06-01
94,LASST060000000000005,2020,M05,May,15604432.0,2020-05-01
95,LASST060000000000005,2020,M04,April,15685944.0,2020-04-01
96,LASST060000000000005,2020,M03,March,18213641.0,2020-03-01
97,LASST060000000000005,2020,M02,February,18733837.0,2020-02-01
98,LASST060000000000005,2020,M01,January,18744753.0,2020-01-01
99,LASST060000000000006,2022,M09,September,19290329.0,2022-09-01
100,LASST060000000000006,2022,M08,August,19348044.0,2022-08-01
101,LASST060000000000006,2022,M07,July,19323052.0,2022-07-01
102,LASST060000000000006,2022,M06,June,19350182.0,2022-06-01
103,LASST060000000000006,2022,M05,May,19298832.0,2022-05-01
104,LASST060000000000006,2022,M04,April,19229150.0,2022-04-01
105,LASST060000000000006,2022,M03,March,19124991.0,2022-03-01
106,LASST060000000000006,2022,M02,February,19068225.0,2022-02-01
107,LASST060000000000006,2022,M01,January,19048755.0,2022-01-01
108,LASST060000000000006,2021,M12,December,18946015.0,2021-12-01
109,LASST060000000000006,2021,M11,November,18963995.0,2021-11-01
110,LASST060000000000006,2021,M10,October,19024355.0,2021-10-01
111,LASST060000000000006,2021,M09,September,19006826.0,2021-09-01
112,LASST060000000000006,2021,M08,August,19049309.0,2021-08-01
113,LASST060000000000006,2021,M07,July,19016323.0,2021-07-01
114,LASST060000000000006,2021,M06,June,19021240.0,2021-06-01
115,LASST060000000000006,2021,M05,May,18913379.0,2021-05-01
116,LASST060000000000006,2021,M04,April,18881824.0,2021-04-01
117,LASST060000000000006,2021,M03,March,18781662.0,2021-03-01
118,LASST060000000000006,2021,M02,February,18706712.0,2021-02-01
119,LASST060000000000006,2021,M01,January,18657907.0,2021-01-01
120,LASST060000000000006,2020,M12,December,18670917.0,2020-12-01
121,LASST060000000000006,2020,M11,November,18600782.0,2020-11-01
122,LASST060000000000006,2020,M10,October,18584660.0,2020-10-01
123,LASST060000000000006,2020,M09,September,18666533.0,2020-09-01
124,LASST060000000000006,2020,M08,August,18869585.0,2020-08-01
125,LASST060000000000006,2020,M07,July,19059395.0,2020-07-01
126,LASST060000000000006,2020,M06,June,19042530.0,2020-06-01
127,LASST060000000000006,2020,M05,May,18606506.0,2020-05-01
128,LASST060000000000006,2020,M04,April,18651174.0,2020-04-01
129,LASST060000000000006,2020,M03,March,19267549.0,2020-03-01
130,LASST060000000000006,2020,M02,February,19536350.0,2020-02-01
131,LASST060000000000006,2020,M01,January,19545409.0,2020-01-01
132,LASST060000000000007,2022,M09,September,59.9,2022-09-01
133,LASST060000000000007,2022,M08,August,60.0,2022-08-01
134,LASST060000000000007,2022,M07,July,60.0,2022-07-01
135,LASST060000000000007,2022,M06,June,59.9,2022-06-01
136,LASST060000000000007,2022,M05,May,59.6,2022-05-01
137,LASST060000000000007,2022,M04,April,59.2,2022-04-01
138,LASST060000000000007,2022,M03,March,58.7,2022-03-01
139,LASST060000000000007,2022,M02,February,58.3,2022-02-01
140,LASST060000000000007,2022,M01,January,58.0,2022-01-01
141,LASST060000000000007,2021,M12,December,57.6,2021-12-01
142,LASST060000000000007,2021,M11,November,57.6,2021-11-01
143,LASST060000000000007,2021,M10,October,57.6,2021-10-01
144,LASST060000000000007,2021,M09,September,57.4,2021-09-01
145,LASST060000000000007,2021,M08,August,57.1,2021-08-01
146,LASST060000000000007,2021,M07,July,56.8,2021-07-01
147,LASST060000000000007,2021,M06,June,56.5,2021-06-01
148,LASST060000000000007,2021,M05,May,56.2,2021-05-01
149,LASST060000000000007,2021,M04,April,55.8,2021-04-01
150,LASST060000000000007,2021,M03,March,55.4,2021-03-01
151,LASST060000000000007,2021,M02,February,55.1,2021-02-01
152,LASST060000000000007,2021,M01,January,54.8,2021-01-01
153,LASST060000000000007,2020,M12,December,54.6,2020-12-01
154,LASST060000000000007,2020,M11,November,54.3,2020-11-01
155,LASST060000000000007,2020,M10,October,54.1,2020-10-01
156,LASST060000000000007,2020,M09,September,53.8,2020-09-01
157,LASST060000000000007,2020,M08,August,53.4,2020-08-01
158,LASST060000000000007,2020,M07,July,53.1,2020-07-01
159,LASST060000000000007,2020,M06,June,52.6,2020-06-01
160,LASST060000000000007,2020,M05,May,50.2,2020-05-01
161,LASST060000000000007,2020,M04,April,50.4,2020-04-01
162,LASST060000000000007,2020,M03,March,58.6,2020-03-01
163,LASST060000000000007,2020,M02,February,60.2,2020-02-01
164,LASST060000000000007,2020,M01,January,60.3,2020-01-01
165,LASST060000000000008,2022,M09,September,62.3,2022-09-01
166,LASST060000000000008,2022,M08,August,62.5,2022-08-01
167,LASST060000000000008,2022,M07,July,62.4,2022-07-01
168,LASST060000000000008,2022,M06,June,62.5,2022-06-01
169,LASST060000000000008,2022,M05,May,62.3,2022-05-01
170,LASST060000000000008,2022,M04,April,62.1,2022-04-01
171,LASST060000000000008,2022,M03,March,61.7,2022-03-01
172,LASST060000000000008,2022,M02,February,61.5,2022-02-01
173,LASST060000000000008,2022,M01,January,61.5,2022-01-01
174,LASST060000000000008,2021,M12,December,61.1,2021-12-01
175,LASST060000000000008,2021,M11,November,61.2,2021-11-01
176,LASST060000000000008,2021,M10,October,61.4,2021-10-01
177,LASST060000000000008,2021,M09,September,61.3,2021-09-01
178,LASST060000000000008,2021,M08,August,61.4,2021-08-01
179,LASST060000000000008,2021,M07,July,61.3,2021-07-01
180,LASST060000000000008,2021,M06,June,61.3,2021-06-01
181,LASST060000000000008,2021,M05,May,61.0,2021-05-01
182,LASST060000000000008,2021,M04,April,60.9,2021-04-01
183,LASST060000000000008,2021,M03,March,60.5,2021-03-01
184,LASST060000000000008,2021,M02,February,60.3,2021-02-01
185,LASST060000000000008,2021,M01,January,60.1,2021-01-01
186,LASST060000000000008,2020,M12,December,60.1,2020-12-01
187,LASST060000000000008,2020,M11,November,59.8,2020-11-01
188,LASST060000000000008,2020,M10,October,59.8,2020-10-01
189,LASST060000000000008,2020,M09,September,60.0,2020-09-01
190,LASST060000000000008,2020,M08,August,60.7,2020-08-01
191,LASST060000000000008,2020,M07,July,61.3,2020-07-01
192,LASST060000000000008,2020,M06,June,61.2,2020-06-01
193,LASST060000000000008,2020,M05,May,59.8,2020-05-01
194,LASST060000000000008,2020,M04,April,60.0,2020-04-01
195,LASST060000000000008,2020,M03,March,61.9,2020-03-01
196,LASST060000000000008,2020,M02,February,62.8,2020-02-01
197,LASST060000000000008,2020,M01,January,62.8,2020-01-01
