,seriesID,year,period,periodName,value,Date
0,LNS14000000,2022,M09,September,3.5,2022-09-01
1,LNS14000000,2022,M08,August,3.7,2022-08-01
2,LNS14000000,2022,M07,July,3.5,2022-07-01
3,LNS14000000,2022,M06,June,3.6,2022-06-01
4,LNS14000000,2022,M05,May,3.6,2022-05-01
5,LNS14000000,2022,M04,April,3.6,2022-04-01
6,LNS14000000,2022,M03,March,3.6,2022-03-01
7,LNS14000000,2022,M02,February,3.8,2022-02-01
8,LNS14000000,2022,M01,January,4.0,2022-01-01
9,LNS14000000,2021,M12,December,3.9,2021-12-01
10,LNS14000000,2021,M11,November,4.2,2021-11-01
11,LNS14000000,2021,M10,October,4.6,2021-10-01
12,LNS14000000,2021,M09,September,4.7,2021-09-01
13,LNS14000000,2021,M08,August,5.2,2021-08-01
14,LNS14000000,2021,M07,July,5.4,2021-07-01
15,LNS14000000,2021,M06,June,5.9,2021-06-01
16,LNS14000000,2021,M05,May,5.8,2021-05-01
17,LNS14000000,2021,M04,April,6.0,2021-04-01
18,LNS14000000,2021,M03,March,6.0,2021-03-01
19,LNS14000000,2021,M02,February,6.2,2021-02-01
20,LNS14000000,2021,M01,January,6.4,2021-01-01
21,LNS14000000,2020,M12,December,6.7,2020-12-01
22,LNS14000000,2020,M11,November,6.7,2020-11-01
23,LNS14000000,2020,M10,October,6.9,2020-10-01
24,LNS14000000,2020,M09,September,7.9,2020-09-01
25,LNS14000000,2020,M08,August,8.4,2020-08-01
26,LNS14000000,2020,M07,July,10.2,2020-07-01
27,LNS14000000,2020,M06,June,11.0,2020-06-01
28,LNS14000000,2020,M05,May,13.2,2020-05-01
29,LNS14000000,2020,M04,April,14.7,2020-04-01
30,LNS14000000,2020,M03,March,4.4,2020-03-01
31,LNS14000000,2020,M02,February,3.5,2020-02-01
32,LNS14000000,2020,M01,January,3.5,2020-01-01
