seriesID,year,period,periodName,value,Date
CUUR0000SA0,2022,M09,September,296.808,2022-09-01
CUUR0000SA0,2022,M08,August,296.171,2022-08-01
CUUR0000SA0,2022,M07,July,296.276,2022-07-01
CUUR0000SA0,2022,M06,June,296.311,2022-06-01
CUUR0000SA0,2022,M05,May,292.296,2022-05-01
CUUR0000SA0,2022,M04,April,289.109,2022-04-01
CUUR0000SA0,2022,M03,March,287.504,2022-03-01
CUUR0000SA0,2022,M02,February,283.716,2022-02-01
CUUR0000SA0,2022,M01,January,281.148,2022-01-01
CUUR0000SA0,2021,M12,December,278.802,2021-12-01
CUUR0000SA0,2021,M11,November,277.948,2021-11-01
CUUR0000SA0,2021,M10,October,276.589,2021-10-01
CUUR0000SA0,2021,M09,September,274.31,2021-09-01
CUUR0000SA0,2021,M08,August,273.567,2021-08-01
CUUR0000SA0,2021,M07,July,273.003,2021-07-01
CUUR0000SA0,2021,M06,June,271.696,2021-06-01
CUUR0000SA0,2021,M05,May,269.195,2021-05-01
CUUR0000SA0,2021,M04,April,267.054,2021-04-01
CUUR0000SA0,2021,M03,March,264.877,2021-03-01
CUUR0000SA0,2021,M02,February,263.014,2021-02-01
CUUR0000SA0,2021,M01,January,261.582,2021-01-01
CUUR0000SA0,2020,M12,December,260.474,2020-12-01
CUUR0000SA0,2020,M11,November,260.229,2020-11-01
CUUR0000SA0,2020,M10,October,260.388,2020-10-01
CUUR0000SA0,2020,M09,September,260.28,2020-09-01
CUUR0000SA0,2020,M08,August,259.918,2020-08-01
CUUR0000SA0,2020,M07,July,259.101,2020-07-01
CUUR0000SA0,2020,M06,June,257.797,2020-06-01
CUUR0000SA0,2020,M05,May,256.394,2020-05-01
CUUR0000SA0,2020,M04,April,256.389,2020-04-01
CUUR0000SA0,2020,M03,March,258.115,2020-03-01
CUUR0000SA0,2020,M02,February,258.678,2020-02-01
CUUR0000SA0,2020,M01,January,257.971,2020-01-01
CUUR0000SA0,2019,M12,December,256.974,2019-12-01
CUUR0000SA0,2019,M11,November,257.208,2019-11-01
CUUR0000SA0,2019,M10,October,257.346,2019-10-01
CUUR0000SA0,2019,M09,September,256.759,2019-09-01
CUUR0000SA0,2019,M08,August,256.558,2019-08-01
CUUR0000SA0,2019,M07,July,256.571,2019-07-01
CUUR0000SA0,2019,M06,June,256.143,2019-06-01
CUUR0000SA0,2019,M05,May,256.092,2019-05-01
CUUR0000SA0,2019,M04,April,255.548,2019-04-01
CUUR0000SA0,2019,M03,March,254.202,2019-03-01
CUUR0000SA0,2019,M02,February,252.776,2019-02-01
CUUR0000SA0,2019,M01,January,251.712,2019-01-01
CUUR0000SA0,2018,M12,December,251.233,2018-12-01
CUUR0000SA0,2018,M11,November,252.038,2018-11-01
CUUR0000SA0,2018,M10,October,252.885,2018-10-01
CUUR0000SA0,2018,M09,September,252.439,2018-09-01
CUUR0000SA0,2018,M08,August,252.146,2018-08-01
CUUR0000SA0,2018,M07,July,252.006,2018-07-01
CUUR0000SA0,2018,M06,June,251.989,2018-06-01
CUUR0000SA0,2018,M05,May,251.588,2018-05-01
CUUR0000SA0,2018,M04,April,250.546,2018-04-01
CUUR0000SA0,2018,M03,March,249.554,2018-03-01
CUUR0000SA0,2018,M02,February,248.991,2018-02-01
CUUR0000SA0,2018,M01,January,247.867,2018-01-01
CUUR0000SA0,2017,M12,December,246.524,2017-12-01
CUUR0000SA0,2017,M11,November,246.669,2017-11-01
CUUR0000SA0,2017,M10,October,246.663,2017-10-01
CUUR0000SA0,2017,M09,September,246.819,2017-09-01
CUUR0000SA0,2017,M08,August,245.519,2017-08-01
CUUR0000SA0,2017,M07,July,244.786,2017-07-01
CUUR0000SA0,2017,M06,June,244.955,2017-06-01
CUUR0000SA0,2017,M05,May,244.733,2017-05-01
CUUR0000SA0,2017,M04,April,244.524,2017-04-01
CUUR0000SA0,2017,M03,March,243.801,2017-03-01
CUUR0000SA0,2017,M02,February,243.603,2017-02-01
CUUR0000SA0,2017,M01,January,242.839,2017-01-01
