description,seriesId,economy,country,period,value,year
"population, total",SP.POP.TOTL,ZWE,Zimbabwe,YR2000,11881482.0,2000
"population, total",SP.POP.TOTL,ZMB,Zambia,YR2000,10415942.0,2000
"population, total",SP.POP.TOTL,YEM,"Yemen, Rep.",YR2000,17409071.0,2000
"population, total",SP.POP.TOTL,PSE,West Bank and Gaza,YR2000,2922153.0,2000
"population, total",SP.POP.TOTL,VIR,Virgin Islands (U.S.),YR2000,108642.0,2000
"population, total",SP.POP.TOTL,VNM,Vietnam,YR2000,79910411.0,2000
"population, total",SP.POP.TOTL,VEN,"Venezuela, RB",YR2000,24192449.0,2000
"population, total",SP.POP.TOTL,VUT,Vanuatu,YR2000,184964.0,2000
"population, total",SP.POP.TOTL,UZB,Uzbekistan,YR2000,24650400.0,2000
"population, total",SP.POP.TOTL,URY,Uruguay,YR2000,3319734.0,2000
"population, total",SP.POP.TOTL,USA,United States,YR2000,282162411.0,2000
"population, total",SP.POP.TOTL,GBR,United Kingdom,YR2000,58892514.0,2000
"population, total",SP.POP.TOTL,ARE,United Arab Emirates,YR2000,3134067.0,2000
"population, total",SP.POP.TOTL,UKR,Ukraine,YR2000,49176500.0,2000
"population, total",SP.POP.TOTL,UGA,Uganda,YR2000,23650159.0,2000
"population, total",SP.POP.TOTL,TUV,Tuvalu,YR2000,9392.0,2000
"population, total",SP.POP.TOTL,TCA,Turks and Caicos Islands,YR2000,20171.0,2000
"population, total",SP.POP.TOTL,TKM,Turkmenistan,YR2000,4516128.0,2000
"population, total",SP.POP.TOTL,TUR,Turkiye,YR2000,63240196.0,2000
"population, total",SP.POP.TOTL,TUN,Tunisia,YR2000,9708347.0,2000
"population, total",SP.POP.TOTL,TTO,Trinidad and Tobago,YR2000,1267159.0,2000
"population, total",SP.POP.TOTL,TON,Tonga,YR2000,97962.0,2000
"population, total",SP.POP.TOTL,TGO,Togo,YR2000,4924406.0,2000
"population, total",SP.POP.TOTL,TLS,Timor-Leste,YR2000,884366.0,2000
"population, total",SP.POP.TOTL,THA,Thailand,YR2000,62952639.0,2000
"population, total",SP.POP.TOTL,TZA,Tanzania,YR2000,33499177.0,2000
"population, total",SP.POP.TOTL,TJK,Tajikistan,YR2000,6216329.0,2000
"population, total",SP.POP.TOTL,SYR,Syrian Arab Republic,YR2000,16410847.0,2000
"population, total",SP.POP.TOTL,CHE,Switzerland,YR2000,7184250.0,2000
"population, total",SP.POP.TOTL,SWE,Sweden,YR2000,8872109.0,2000
"population, total",SP.POP.TOTL,SUR,Suriname,YR2000,470944.0,2000
"population, total",SP.POP.TOTL,SDN,Sudan,YR2000,27275019.0,2000
"population, total",SP.POP.TOTL,VCT,St. Vincent and the Grenadines,YR2000,107787.0,2000
"population, total",SP.POP.TOTL,MAF,St. Martin (French part),YR2000,28935.0,2000
"population, total",SP.POP.TOTL,LCA,St. Lucia,YR2000,156737.0,2000
"population, total",SP.POP.TOTL,KNA,St. Kitts and Nevis,YR2000,44083.0,2000
"population, total",SP.POP.TOTL,LKA,Sri Lanka,YR2000,18777606.0,2000
"population, total",SP.POP.TOTL,ESP,Spain,YR2000,40567864.0,2000
"population, total",SP.POP.TOTL,SSD,South Sudan,YR2000,6199396.0,2000
"population, total",SP.POP.TOTL,ZAF,South Africa,YR2000,44967713.0,2000
"population, total",SP.POP.TOTL,SOM,Somalia,YR2000,8872250.0,2000
"population, total",SP.POP.TOTL,SLB,Solomon Islands,YR2000,412665.0,2000
"population, total",SP.POP.TOTL,SVN,Slovenia,YR2000,1988925.0,2000
"population, total",SP.POP.TOTL,SVK,Slovak Republic,YR2000,5388720.0,2000
"population, total",SP.POP.TOTL,SXM,Sint Maarten (Dutch part),YR2000,30519.0,2000
"population, total",SP.POP.TOTL,SGP,Singapore,YR2000,4027887.0,2000
"population, total",SP.POP.TOTL,SLE,Sierra Leone,YR2000,4584570.0,2000
"population, total",SP.POP.TOTL,SYC,Seychelles,YR2000,81131.0,2000
"population, total",SP.POP.TOTL,SRB,Serbia,YR2000,7516346.0,2000
"population, total",SP.POP.TOTL,SEN,Senegal,YR2000,9797731.0,2000
"population, total",SP.POP.TOTL,SAU,Saudi Arabia,YR2000,20663840.0,2000
"population, total",SP.POP.TOTL,STP,Sao Tome and Principe,YR2000,142264.0,2000
"population, total",SP.POP.TOTL,SMR,San Marino,YR2000,27460.0,2000
"population, total",SP.POP.TOTL,WSM,Samoa,YR2000,174454.0,2000
"population, total",SP.POP.TOTL,RWA,Rwanda,YR2000,7933688.0,2000
"population, total",SP.POP.TOTL,RUS,Russian Federation,YR2000,146596869.0,2000
"population, total",SP.POP.TOTL,ROU,Romania,YR2000,22442971.0,2000
"population, total",SP.POP.TOTL,QAT,Qatar,YR2000,592467.0,2000
"population, total",SP.POP.TOTL,PRI,Puerto Rico,YR2000,3810605.0,2000
"population, total",SP.POP.TOTL,PRT,Portugal,YR2000,10289898.0,2000
"population, total",SP.POP.TOTL,POL,Poland,YR2000,38258629.0,2000
"population, total",SP.POP.TOTL,PHL,Philippines,YR2000,77991757.0,2000
"population, total",SP.POP.TOTL,PER,Peru,YR2000,26459944.0,2000
"population, total",SP.POP.TOTL,PRY,Paraguay,YR2000,5323202.0,2000
"population, total",SP.POP.TOTL,PNG,Papua New Guinea,YR2000,5847590.0,2000
"population, total",SP.POP.TOTL,PAN,Panama,YR2000,3030333.0,2000
"population, total",SP.POP.TOTL,PLW,Palau,YR2000,19104.0,2000
"population, total",SP.POP.TOTL,PAK,Pakistan,YR2000,142343583.0,2000
"population, total",SP.POP.TOTL,OMN,Oman,YR2000,2267973.0,2000
"population, total",SP.POP.TOTL,NOR,Norway,YR2000,4490967.0,2000
"population, total",SP.POP.TOTL,MNP,Northern Mariana Islands,YR2000,57453.0,2000
"population, total",SP.POP.TOTL,MKD,North Macedonia,YR2000,2026350.0,2000
"population, total",SP.POP.TOTL,NGA,Nigeria,YR2000,122283853.0,2000
"population, total",SP.POP.TOTL,NER,Niger,YR2000,11331561.0,2000
"population, total",SP.POP.TOTL,NIC,Nicaragua,YR2000,5069310.0,2000
"population, total",SP.POP.TOTL,NZL,New Zealand,YR2000,3857700.0,2000
"population, total",SP.POP.TOTL,NCL,New Caledonia,YR2000,213230.0,2000
"population, total",SP.POP.TOTL,NLD,Netherlands,YR2000,15925513.0,2000
"population, total",SP.POP.TOTL,NPL,Nepal,YR2000,23941099.0,2000
"population, total",SP.POP.TOTL,NRU,Nauru,YR2000,10335.0,2000
"population, total",SP.POP.TOTL,NAM,Namibia,YR2000,1794583.0,2000
"population, total",SP.POP.TOTL,MMR,Myanmar,YR2000,46719698.0,2000
"population, total",SP.POP.TOTL,MOZ,Mozambique,YR2000,17711925.0,2000
"population, total",SP.POP.TOTL,MAR,Morocco,YR2000,28793672.0,2000
"population, total",SP.POP.TOTL,MNE,Montenegro,YR2000,604950.0,2000
"population, total",SP.POP.TOTL,MNG,Mongolia,YR2000,2397417.0,2000
"population, total",SP.POP.TOTL,MCO,Monaco,YR2000,32148.0,2000
"population, total",SP.POP.TOTL,MDA,Moldova,YR2000,2923783.0,2000
"population, total",SP.POP.TOTL,FSM,"Micronesia, Fed. Sts.",YR2000,107405.0,2000
"population, total",SP.POP.TOTL,MEX,Mexico,YR2000,98899845.0,2000
"population, total",SP.POP.TOTL,MUS,Mauritius,YR2000,1186873.0,2000
"population, total",SP.POP.TOTL,MRT,Mauritania,YR2000,2630217.0,2000
"population, total",SP.POP.TOTL,MHL,Marshall Islands,YR2000,50754.0,2000
"population, total",SP.POP.TOTL,MLT,Malta,YR2000,390087.0,2000
"population, total",SP.POP.TOTL,MLI,Mali,YR2000,10946448.0,2000
"population, total",SP.POP.TOTL,MDV,Maldives,YR2000,279396.0,2000
"population, total",SP.POP.TOTL,MYS,Malaysia,YR2000,23194252.0,2000
"population, total",SP.POP.TOTL,MWI,Malawi,YR2000,11148751.0,2000
"population, total",SP.POP.TOTL,MDG,Madagascar,YR2000,15766806.0,2000
"population, total",SP.POP.TOTL,MAC,"Macao SAR, China",YR2000,427772.0,2000
"population, total",SP.POP.TOTL,LUX,Luxembourg,YR2000,436300.0,2000
"population, total",SP.POP.TOTL,LTU,Lithuania,YR2000,3499536.0,2000
"population, total",SP.POP.TOTL,LIE,Liechtenstein,YR2000,33184.0,2000
"population, total",SP.POP.TOTL,LBY,Libya,YR2000,5357893.0,2000
"population, total",SP.POP.TOTL,LBR,Liberia,YR2000,2848447.0,2000
"population, total",SP.POP.TOTL,LSO,Lesotho,YR2000,2032805.0,2000
"population, total",SP.POP.TOTL,LBN,Lebanon,YR2000,3842774.0,2000
"population, total",SP.POP.TOTL,LVA,Latvia,YR2000,2367550.0,2000
"population, total",SP.POP.TOTL,LAO,Lao PDR,YR2000,5323701.0,2000
"population, total",SP.POP.TOTL,KGZ,Kyrgyz Republic,YR2000,4898400.0,2000
"population, total",SP.POP.TOTL,KWT,Kuwait,YR2000,2045123.0,2000
"population, total",SP.POP.TOTL,XKX,Kosovo,YR2000,1700000.0,2000
"population, total",SP.POP.TOTL,KOR,"Korea, Rep.",YR2000,47008111.0,2000
"population, total",SP.POP.TOTL,PRK,"Korea, Dem. People's Rep.",YR2000,22929078.0,2000
"population, total",SP.POP.TOTL,KIR,Kiribati,YR2000,84405.0,2000
"population, total",SP.POP.TOTL,KEN,Kenya,YR2000,31964557.0,2000
"population, total",SP.POP.TOTL,KAZ,Kazakhstan,YR2000,14883626.0,2000
"population, total",SP.POP.TOTL,JOR,Jordan,YR2000,5122495.0,2000
"population, total",SP.POP.TOTL,JPN,Japan,YR2000,126843000.0,2000
"population, total",SP.POP.TOTL,JAM,Jamaica,YR2000,2654698.0,2000
"population, total",SP.POP.TOTL,ITA,Italy,YR2000,56942108.0,2000
"population, total",SP.POP.TOTL,ISR,Israel,YR2000,6289000.0,2000
"population, total",SP.POP.TOTL,IMN,Isle of Man,YR2000,76942.0,2000
"population, total",SP.POP.TOTL,IRL,Ireland,YR2000,3805174.0,2000
"population, total",SP.POP.TOTL,IRQ,Iraq,YR2000,23497589.0,2000
"population, total",SP.POP.TOTL,IRN,"Iran, Islamic Rep.",YR2000,65623397.0,2000
"population, total",SP.POP.TOTL,IDN,Indonesia,YR2000,211513822.0,2000
"population, total",SP.POP.TOTL,IND,India,YR2000,1056575548.0,2000
"population, total",SP.POP.TOTL,ISL,Iceland,YR2000,281205.0,2000
"population, total",SP.POP.TOTL,HUN,Hungary,YR2000,10210971.0,2000
"population, total",SP.POP.TOTL,HKG,"Hong Kong SAR, China",YR2000,6665000.0,2000
"population, total",SP.POP.TOTL,HND,Honduras,YR2000,6574510.0,2000
"population, total",SP.POP.TOTL,HTI,Haiti,YR2000,8463802.0,2000
"population, total",SP.POP.TOTL,GUY,Guyana,YR2000,746718.0,2000
"population, total",SP.POP.TOTL,GNB,Guinea-Bissau,YR2000,1201305.0,2000
